# Wavelength   Rlam
115.22468 47.72953
115.27604 47.72766
115.32742 47.72578
115.37883 47.72390
115.43026 47.72202
115.48171 47.72013
115.53318 47.71825
115.58468 47.71637
115.63620 47.71448
115.68775 47.71260
115.73931 47.71071
115.79090 47.70883
115.84252 47.70694
115.89415 47.70505
115.94581 47.70316
115.99749 47.70127
116.04920 47.69938
116.10092 47.69749
116.15267 47.69560
116.20445 47.69370
116.25625 47.69181
116.30807 47.68991
116.35991 47.68802
116.41178 47.68612
116.46366 47.68422
116.51558 47.68232
116.56751 47.68042
116.61947 47.67852
116.67145 47.67662
116.72346 47.67472
116.77549 47.67282
116.82754 47.67091
116.87961 47.66901
116.93171 47.66710
116.98383 47.66520
117.03598 47.66329
117.08814 47.66138
117.14034 47.65947
117.19255 47.65756
117.24479 47.65565
117.29705 47.65374
117.34933 47.65183
117.40164 47.64992
117.45397 47.64800
117.50632 47.64609
117.55870 47.64417
117.61110 47.64226
117.66353 47.64034
117.71597 47.63842
117.76844 47.63650
117.82094 47.63458
117.87346 47.63266
117.92600 47.63074
117.97856 47.62882
118.03115 47.62689
118.08376 47.62497
118.13639 47.62304
118.18905 47.62112
118.24173 47.61919
118.29444 47.61726
118.34717 47.61534
118.39992 47.61341
118.45270 47.61148
118.50549 47.60955
118.55832 47.60761
118.61116 47.60568
118.66403 47.60375
118.71693 47.60181
118.76984 47.59988
118.82278 47.59794
118.87575 47.59600
118.92874 47.59407
118.98175 47.59213
119.03478 47.59019
119.08784 47.58825
119.14092 47.58631
119.19403 47.58436
119.24716 47.58242
119.30031 47.58048
119.35349 47.57853
119.40669 47.57659
119.45991 47.57464
119.51316 47.57269
119.56643 47.57074
119.61973 47.56879
119.67305 47.56684
119.72639 47.56489
119.77976 47.56294
119.83315 47.56099
119.88656 47.55904
119.94000 47.55708
119.99346 47.55513
120.04695 47.55317
120.10046 47.55121
120.15399 47.54925
120.20755 47.54730
120.26113 47.54534
120.31474 47.54338
120.36837 47.54141
120.42202 47.53945
120.47570 47.53749
120.52940 47.53553
120.58312 47.53356
120.63687 47.53159
120.69064 47.52963
120.74444 47.52766
120.79826 47.52569
120.85210 47.52372
120.90597 47.52175
120.95987 47.51978
121.01378 47.51781
121.06772 47.51584
121.12169 47.51386
121.17568 47.51189
121.22969 47.50991
121.28373 47.50794
121.33779 47.50596
121.39187 47.50398
121.44598 47.50200
121.50011 47.50002
121.55427 47.49804
121.60845 47.49606
121.66266 47.49408
121.71689 47.49209
121.77114 47.49011
121.82542 47.48813
121.87972 47.48614
121.93405 47.48415
121.98840 47.48216
122.04278 47.48018
122.09718 47.47819
122.15160 47.47620
122.20605 47.47420
122.26052 47.47221
122.31502 47.47022
122.36954 47.46823
122.42408 47.46623
122.47865 47.46423
122.53325 47.46224
122.58786 47.46024
122.64251 47.45824
122.69717 47.45624
122.75186 47.45424
122.80658 47.45224
122.86132 47.45024
122.91608 47.44824
122.97087 47.44623
123.02568 47.44423
123.08052 47.44222
123.13538 47.44022
123.19027 47.43821
123.24518 47.43620
123.30012 47.43419
123.35508 47.43218
123.41006 47.43017
123.46507 47.42816
123.52010 47.42615
123.57516 47.42413
123.63024 47.42212
123.68535 47.42010
123.74048 47.41809
123.79564 47.41607
123.85082 47.41405
123.90602 47.41203
123.96125 47.41001
124.01651 47.40799
124.07179 47.40597
124.12709 47.40395
124.18242 47.40192
124.23777 47.39990
124.29315 47.39787
124.34855 47.39585
124.40398 47.39382
124.45943 47.39179
124.51491 47.38976
124.57041 47.38773
124.62594 47.38570
124.68149 47.38367
124.73706 47.38164
124.79266 47.37960
124.84829 47.37757
124.90394 47.37553
124.95961 47.37350
125.01531 47.37146
125.07104 47.36942
125.12678 47.36738
125.18256 47.36534
125.23836 47.36330
125.29418 47.36126
125.35003 47.35922
125.40590 47.35718
125.46180 47.35513
125.51773 47.35309
125.57367 47.35104
125.62965 47.34899
125.68564 47.34695
125.74167 47.34490
125.79772 47.34285
125.85379 47.34080
125.90989 47.33874
125.96601 47.33669
126.02216 47.33464
126.07833 47.33258
126.13453 47.33053
126.19075 47.32847
126.24700 47.32641
126.30327 47.32436
126.35957 47.32230
126.41590 47.32024
126.47225 47.31818
126.52862 47.31612
126.58502 47.31405
126.64144 47.31199
126.69789 47.30992
126.75437 47.30786
126.81086 47.30579
126.86739 47.30373
126.92394 47.30166
126.98051 47.29959
127.03711 47.29752
127.09374 47.29545
127.15039 47.29338
127.20707 47.29130
127.26377 47.28923
127.32049 47.28715
127.37725 47.28508
127.43402 47.28300
127.49083 47.28092
127.54765 47.27885
127.60451 47.27677
127.66139 47.27469
127.71829 47.27261
127.77522 47.27052
127.83217 47.26844
127.88915 47.26636
127.94616 47.26427
128.00319 47.26219
128.06025 47.26010
128.11733 47.25801
128.17443 47.25592
128.23157 47.25383
128.28872 47.25174
128.34591 47.24965
128.40312 47.24756
128.46035 47.24547
128.51761 47.24337
